dataset,method,embedder,ipc,classifier,num_runs,test_acc_mean,test_acc_std,synth_time_mean
adult,random,,50,mlp,3,0.7308584686774942,0.0,0.0021354357401529946
adult,random,,50,rf,3,0.7506482871570902,0.0,0.0021354357401529946
adult,full,,50,mlp,3,0.8476866384604888,1.1102230246251565e-16,0.0
adult,full,,50,rf,3,0.8508257131158729,0.0,0.0
electricity,random,,50,mlp,3,0.6388112402530528,0.0,0.0
electricity,random,,50,rf,3,0.7212005296454317,1.1102230246251565e-16,0.0
electricity,full,,50,mlp,3,0.8168309548330145,1.1102230246251565e-16,0.0
electricity,full,,50,rf,3,0.8996616154185672,1.1102230246251565e-16,0.0
madelon,random,,50,mlp,3,0.5282051282051282,0.0,0.0006689230600992838
madelon,random,,50,rf,3,0.5384615384615384,0.0,0.0006689230600992838
madelon,full,,50,mlp,3,0.5666666666666667,0.0,0.0
madelon,full,,50,rf,3,0.7230769230769231,0.0,0.0
magic,random,,50,mlp,3,0.7518401682439538,1.1102230246251565e-16,0.0
magic,random,,50,rf,3,0.7595513494567122,0.0,0.0
magic,full,,50,mlp,3,0.8576936558009113,0.0,0.0
magic,full,,50,rf,3,0.8769716088328076,0.0,0.0
phishing,random,,50,mlp,3,0.8848704038577456,0.0,0.0048758188883463545
phishing,random,,50,rf,3,0.918625678119349,0.0,0.0048758188883463545
phishing,full,,50,mlp,3,0.9752863170584689,0.0,0.0
phishing,full,,50,rf,3,0.9776974080771549,0.0,0.0
satimage,random,,50,mlp,3,0.8466321243523316,0.0,0.004998922348022461
satimage,random,,50,rf,3,0.8590673575129534,0.0,0.004998922348022461
satimage,full,,50,mlp,3,0.9067357512953368,0.0,0.0
satimage,full,,50,rf,3,0.917098445595855,0.0,0.0
